
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 0  0.136573  0.021569  -0.163096
 1  0.146873  0.024618  -0.092082
 2  0.148521  0.098795  0.060812
 3  0.148308  0.082842  0.004100
 4  0.147086  0.110038  -0.010099
 5  0.148519  0.058709  -0.092447
 6  0.148519  0.117618  0.074845
 7  0.148519  0.094344  -0.171384
 8  0.172970  0.144950  0.111650
 9  0.172970  0.110814  -0.076214
 10  0.309406  0.127432  -0.157004
 11  0.311058  0.153115  -0.163667
 12  0.311058  0.107542  -0.114154
 13  0.311350  0.018186  -0.293239
 14  0.306164  0.046686  -0.162614
 15  0.306164  0.183926  -0.012202
 16  0.303006  0.026319  -0.256518
 17  0.303006  0.002341  -0.371772
 18  0.287231  0.058891  -0.207798
 19  0.286539  0.090425  -0.191702
 20  0.214591  0.059740  -0.206104
 21  0.534098  0.152542  -0.080291
 22  0.534098  0.267695  -0.184341
 23  0.997266  0.524569  0.157219
 24  1.011663  0.811281  0.501050
 25  1.015971  0.850848  0.064995
 26  1.016160  0.799367  -0.003199
 27  1.016160  1.004729  0.967924
 28  1.018297  1.013462  1.008279
 29  1.019124  0.900750  0.324721
 30  1.019124  1.015804  1.013441
 31  1.019401  0.987611  0.834530
 32  1.019388  0.990966  0.870953
 33  1.019655  0.978523  0.884431
 34  1.033473  0.898245  0.290104
 35  1.033422  1.019376  0.997337
 36  1.033635  0.811577  0.168158
 37  1.033619  0.939761  0.570919
 38  1.033691  0.862974  0.367300
 39  1.033088  0.931384  0.623418
 40  1.033088  0.961087  0.749957
 41  1.033223  0.781167  0.071553
 42  1.032896  0.947372  0.532169
 43  1.032879  0.971521  0.754721
 44  1.032763  0.836113  0.333734
 45  1.032763  1.016729  0.972223
 46  1.032764  0.918210  0.500014
 47  1.033579  0.913544  0.765793
 48  1.033600  0.976586  0.704752
 49  1.033600  1.032008  1.027914
 50  1.033676  0.859133  0.337317
 51  1.033213  0.890449  0.572183
 52  1.033170  0.957055  0.804769
 53  1.033170  0.843047  0.574159
 54  1.033594  0.955235  0.700535
 55  1.029960  0.911024  0.456381
 56  1.022279  0.985834  0.894380
 57  1.022279  0.902400  0.697988
 58  1.017494  0.860988  0.462689
 59  1.015577  0.848612  0.400015
 60  1.008076  0.932199  0.786193
 61  1.033471  0.839087  0.463056
 62  1.022949  0.866797  0.583994
 63  1.022949  0.915857  0.663512
 64  1.028198  0.966929  0.817669
 65  1.030063  0.739488  0.129475
 66  1.030214  1.024243  0.999881
 67  1.030054  0.968421  0.675917
 68  1.030173  1.006757  0.893042
 69  1.030138  0.871231  0.643855
 70  1.030138  0.928695  0.719930
 71  1.030138  0.987200  0.783810
 72  1.030224  0.986791  0.772508
 73  1.032805  1.030499  1.029513
 74  1.031546  0.995664  0.873432
 75  1.031923  0.968785  0.667106
 76  1.033462  0.862686  0.553993
 77  1.033546  0.986533  0.754116
 78  1.033330  0.801299  0.184495
 79  1.033684  0.812151  0.409399
 80  1.022902  0.958514  0.850104
 81  1.022902  0.872334  0.606353
 82  1.030054  0.832808  0.507480
 83  1.033648  0.833234  -0.021693
 84  1.033700  1.030669  1.024224
 85  1.033677  1.017692  0.967425
 86  1.033472  0.985337  0.878202
 87  1.033472  0.896100  0.541007
 88  1.033474  0.783957  0.157297
 89  1.033700  0.904172  0.614434
 90  1.033620  1.010527  0.909096
 91  1.033620  0.834997  0.351419
 92  1.033696  1.001214  0.940050
 93  1.033700  1.033636  1.033562
 94  1.033700  0.830021  0.429287
 95  1.033699  0.850550  0.116477
 96  1.033699  0.783282  0.273386
 97  1.033699  0.867990  0.338129
 98  1.033361  0.824070  0.020457
 99  1.033182  0.959570  0.830257
 100  1.033700  0.963193  0.757690
